Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp,Relative Time (s),Current (A),Voltage (V)
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.52,Ransomware,ACS712,00:00:00.000,0.0,0.9,2.33
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.77,Ransomware,ACS712,00:00:00.830,0.83,0.95,2.32
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.49,Ransomware,ACS712,00:00:01.940,1.94,0.9,2.33
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,5.24,Ransomware,ACS712,00:00:03.040,3.04,1.05,2.31
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.56,Ransomware,ACS712,00:00:04.140,4.14,0.91,2.33
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.39,Ransomware,ACS712,00:00:05.240,5.24,0.88,2.34
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.74,Ransomware,ACS712,00:00:06.340,6.34,0.95,2.32
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.46,Ransomware,ACS712,00:00:07.440,7.44,0.89,2.33
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.77,Ransomware,ACS712,00:00:08.550,8.55,0.95,2.32
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,3.66,Ransomware,ACS712,00:00:09.650,9.65,0.73,2.36
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.33,Ransomware,ACS712,00:00:10.750,10.75,0.87,2.34
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.5,Ransomware,ACS712,00:00:11.850,11.85,0.9,2.33
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.62,Ransomware,ACS712,00:00:12.950,12.95,0.92,2.33
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.86,Ransomware,ACS712,00:00:14.060,14.06,0.97,2.32
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.07,Ransomware,ACS712,00:00:15.160,15.16,0.81,2.35
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.15,Ransomware,ACS712,00:00:16.260,16.26,0.83,2.35
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,4.25,Ransomware,ACS712,00:00:17.360,17.36,0.85,2.34
